,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Handle (Name),TikTok,Insta,YT,Total followers,Background/Affiliation,Key Content & Audience,Engagement/Interaction,Additional Notes,TikTok account,Insta account,YT account,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
NJ Athletics,166,78400,908,79474,New Jersey sports at its finest!🔥,"Covers athletes in NJ, all sports",Up to 1000 likes on many posts. A handful of comments.,Video clips of NJ college and HS athletes in action. Lists of top ten athletes in various sports.,https://www.tiktok.com/@njathletics,https://www.instagram.com/njathletics/,https://www.youtube.com/channel/UCHm8EfyEvJf9jc3eys9U-bQ,,,,,,,,,,,,,,
@jersey__news,138,158000,,158138,"Fan submitted NJ News. "" Breaking news coverage of crimes fires accidents""","Lots of traffic videos, only in Jersey.  Lots of truck driver submitted vidoes and issues affecting truckers. Ice arrest videos.",Strong engagment. Some posts get over 3K likes.,Anti-illegal immigration.,https://www.tiktok.com/@jersey__news,https://www.instagram.com/jersey__news/?hl=en,,,,,,,,,,,,,,,
SP Sullivan - NJ dot com,266,3972,,4238,"Nationally recognized local news guy you never heard of, @njdotcom reporter, maker, somebody’s weird dad. You can call me Sean.","Range of NJ stories. Events, crime, features, NJ festivals and road updates weird NJ, politics, personal life including baby shots, ",Low engagement for most posts but some hit it. One pinned post has over 100k likes. Another about not being able to make a left in NJ got 17.4K likes,Me and my family and the state I cover. Funny and fun. Things that affect all New Jerseyans.,,https://www.instagram.com/spsulliv/?hl=en,https://www.tiktok.com/@spsulliv,,,,,,,,,,,,,,
marmodernvibes,2759,21500,27,24286,"☕ Explore the Best NJ Coffee Shops & Restaurants
📚 Bookstores & NJ Hidden Gems
🎡 Family-Friendly Activities in NJ Sharing lifestyle content such as mom hacks, productivity, recipes and home decor in hopes to inspire you.",Pix inside different coffee shops and cafes throughout NJ.,Likes in the hundreds and comments in the tens.,Tone is helpful. Emphasis on pretty things.,https://www.tiktok.com/@marmodernvibes,https://www.instagram.com/marmodernvibes/,https://www.youtube.com/channel/UCLRb09r0zq1CPUOKZRsStrg/about,,,,,,,,,,,,,,
@staceyakawannabefoodie,11200,,,11200,Just a Jersey📍girl who loves to eat ,food fesitvals and restaurants in NJ,Average about 100 likes and under 50 comments.,Tone is Helpful. Friendly. Amateur foodie.,,https://www.instagram.com/staceyakawannabefoodie/?hl=en,,,,,,,,,,,,,,,
Aiyana Figueroa @aiyanafig,17500,797000,1370,815870,"NJ Model / Content Creator / Lifestyle Blogger 📍 NJ, NY, FL & 🌎✈️
🌆 Must Visits, Food, Fashion & Beauty ✨","must try places in NJ. Promotional, informative things to do in and around NJ. Shopping, eating, drinking.",Good engagement. Likes in teh thousands and comments in the tens.,,https://www.tiktok.com/@aiyanafig,https://www.instagram.com/aiyanafig/,https://www.youtube.com/@aiyanafig/featured,,,,,,,,,,,,,,
Jessica Alexandra @lifestylejessica,31300,"33,300",8490,73090,"New Jersey Blogger | East Coast
🌻NJ & Northeast Things to Do NJ Content Creator","nj eats, nj hikes, nj gardens. Nature oriented. ",Most posts have likes in the hundreds and comments in the tens.,"Helpful, lifestyle features and things to do and see in NJ. Many posts feature Jessica.",https://www.tiktok.com/@newjerseywithjess,https://www.instagram.com/lifestylejessica/?hl=en,https://www.youtube.com/@LifestyleJessica,,,,,,,,,,,,,,
NJ Hoop Recruit,4283,138000,38200,180483,Comprehensive NJ basketball coverage & beyond. ,Breaking New Jersey basketball news. Mainly high school NJ games,Views in the low thousands. Less than 10 comments.,,https://www.tiktok.com/@njhooprecruit?lang=en,https://www.instagram.com/njhooprecruit/?hl=en,https://www.youtube.com/njhooprecruit,,,,,,,,,,,,,,
@JerseyShoreFireResponse,9,141000,75000,216009,Fire news within New Jersey shore area,What authorities deal with,Large range in views and comments,,https://www.tiktok.com/@jerseyshorefireresponse,https://www.instagram.com/jerseyshorefireresponse/,https://www.youtube.com/@jerseyshorefireresponse,,,,,,,,,,,,,,
Lost in Jersey ,1210,5776,523,7509,". Lost in Jersey is a podcast dedicated to sharing the stories of incredible people with a connection to the Garden State. From “What’s your tie to New Jersey?” to conversations about news, politics, family, arts, food, movies, and books no topic is off-limits. Come get lost in Jersey with us!","Jersey human interest. Wide-ranging discussions on news, careers, families etc and some politics.",,"Rachel Martens and Janette Afsharian.  Multiplatform: website lostinjersey.site, instagram, apple pod, spotify, tiktok, facebook. Following is on the smaller side, but they do seem to be very Jersey and have a more professional tone and look than many. ",,,,,,,,,,,,,,,,,
Phat Papi Mark Gregory,39500,272000,10090000,10401500,A comedian and foodie from Newark went from being homeless to making a living doing what he loves. ,"Humor, lots around food and weight",A lot,"This didn't come up in our initial search because his content is not really about New Jersey, but he is from Newark  and has been written about here https://newjersey.news12.com/comedian-foodie-from-newark-shares-story-of-becoming-one-of-the-most-successful-influencers-in-nj",https://www.tiktok.com/@iamphatpapi?lang=en,https://www.instagram.com/iamphatpapi/?hl=en,https://www.youtube.com/@IAmPhatPapi/shorts,,,,,,,,,,,,,,
Dileiny Baron,35100,126000,1490,162590," founder of The Creators Loft, a content studio and creative space in Jersey City. a fashion and beauty lover, entrepreneur, mom, ","fashion, beauty, over 40. ""behind-the-scenes vlogs to creator life tips, style edits, home tours, and real talk""",,Didn't come up in initial searches - little of her content is locally tied. But she is clearly an important part of the creator community in Jersey City ,https://www.tiktok.com/@dileinybaron,https://www.instagram.com/dileinybaron/,https://www.youtube.com/@DileinyBaron,,,,,,,,,,,,,,
madewithsaz0n Elena Gergis,27100,87400,12000,126500,"Latina Food Blogger,  lives in Hoboken and writes for Hoboken girl. ""Join me on a culinary journey infused with the flavors of my Puerto Rican heritage. Each week, I'll bring you mouthwatering recipes in both English and Spanish inspired by the dishes I grew up eating in my childhood.""",Latin + Caribbean recipes,,"Not very Jersey specific. Not sure if she ""counts"" per se but there are occasional local references",https://www.tiktok.com/@madewithsaz0n,https://www.instagram.com/madewithsaz0n/,https://www.youtube.com/@Madewithsazon,,,,,,,,,,,,,,
byerikabatista,49100,27600,1200,77900,40+ mom fashion & lifestyle inspo 📍Jersey,"makeup, skin care, kids lunches, clothes",,Not super NJ focused but occasionally. ,https://www.tiktok.com/@byerikabatista?lang=en,https://www.instagram.com/byerikabatista/,https://www.youtube.com/erikabatista,,,,,,,,,,,,,,
Salvatore “Sally Slices” Mandreucci,4900000,1500000,213000,6613000,Pizzaiolo from NJ !  He works at Marcello’s Pizza Grill in Hamilton Square with his Sicilian father,pizza-making skills and inspirational quotes,,,https://www.tiktok.com/@sallyslices?lang=en,https://www.instagram.com/sallyslices_/?hl=en,https://www.youtube.com/@sallyslicespizzman,,,,,,,,,,,,,,
myteacherface Jessica Hawk,943300,319000,101000,1363300,Retired teacher. English teacher for 30-plus years. Worked in Franklinville,"teaching anecdotes, childfree by choice, chats with her students (don’t worry, they’re never on camera), skits with fellow teachers",,Only some content really feels local but she is definitely based here,https://www.tiktok.com/@myteacherface?lang=en,https://www.instagram.com/myteacherface/,https://www.youtube.com/@MyTeacherFace,,,,,,,,,,,,,,
NewarkNJblog ,146,27300,0,27446,"Showcasing the best of Newark, NJ
History • Culture • Community • Dining. Not clear if a person or org is behind it",Photos of Newark and local events,High,,https://www.tiktok.com/@newarknjblog,https://www.instagram.com/newarknjblog/?hl=en,,,,,,,,,,,,,,,
